survey_response_id,user_id,item_id,area_code,area_name,service_category_code,service_category_name,match_score,reasons,label
sr_sample_001,persona_urban_evening_food,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,6.994473,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_001,persona_urban_evening_food,11110515:CS100005,11110515,청운효자동,CS100005,제과점,6.675453,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_001,persona_urban_evening_food,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,6.440878,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_001,persona_urban_evening_food,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,3.19067,budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_001,persona_urban_evening_food,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,-1.043589,avoid_category_violation|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_002,persona_low_budget_bakery,11110515:CS100005,11110515,청운효자동,CS100005,제과점,5.489724,preferred_category_match|budget_fit|residential_bias|stability_signal_match|lunch_operation_match,1
sr_sample_002,persona_low_budget_bakery,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,-2.090027,budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_002,persona_low_budget_bakery,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,-2.591748,budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_002,persona_low_budget_bakery,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,-7.062143,avoid_category_violation|budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_002,persona_low_budget_bakery,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,-7.513161,avoid_category_violation|budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_003,persona_high_growth_chicken,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,6.956411,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_003,persona_high_growth_chicken,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,6.440878,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_003,persona_high_growth_chicken,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,3.994473,budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_003,persona_high_growth_chicken,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,3.19067,budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_003,persona_high_growth_chicken,11110515:CS100005,11110515,청운효자동,CS100005,제과점,-1.324547,avoid_category_violation|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_004,persona_premium_western,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,6.440073,preferred_category_match|budget_fit|subway_dependency_match|balanced_signal_match|evening_operation_match,1
sr_sample_004,persona_premium_western,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,5.78747,preferred_category_match|budget_fit|subway_dependency_match|balanced_signal_match|evening_operation_match,1
sr_sample_004,persona_premium_western,11110515:CS100005,11110515,청운효자동,CS100005,제과점,3.121053,budget_fit|subway_dependency_match|balanced_signal_match|evening_operation_match,1
sr_sample_004,persona_premium_western,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,3.037678,budget_fit|subway_dependency_match|balanced_signal_match|evening_operation_match,0
sr_sample_004,persona_premium_western,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,-1.597989,avoid_category_violation|budget_fit|subway_dependency_match|balanced_signal_match|evening_operation_match,0
sr_sample_005,persona_family_residential_korean,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,5.586302,preferred_category_match|budget_fit|residential_bias|stability_signal_match,1
